"university","women_22","men_22","all_students_22","women_21","men_21","all_students_21","delta_22","delta_21","mean_age_w_22","mean_age_m_22","mean_age_w_21","mean_age_m_21"
"Національний університет ""Львівська політехніка""",1736,4613,6349,1216,1609,2825,187,-15,18,25,18,19
"Західноукраїнський національний університет",848,3807,4655,805,922,1727,313,-6,20,29,20,22
"Чернівецький національний університет ім. Ю. Федьковича",1111,2511,3622,783,740,1523,239,-13,19,25,18,19
"Прикарпатський національний університет ім. В. Стефаника",1442,2022,3464,1228,693,1921,192,15,19,25,18,18
"Львівський національний університет ім. І. Франка",1888,1572,3460,2008,1217,3225,29,8,18,22,18,19
"Державний вищий навчальний заклад ""Ужгородський національний університет""",1149,2275,3424,803,875,1678,160,2,19,26,18,19
"Київський національний університет ім. Т. Шевченка",1697,1599,3296,2157,1784,3941,-10,1,19,21,19,19
"Запорізький національний університет",846,2349,3195,802,687,1489,242,-27,20,29,18,20
"Державний торговельно-економічний університет",1450,1563,3013,1511,1314,2825,19,-10,18,20,18,18
"Національний університет ""Запорізька політехніка""",335,2593,2928,437,601,1038,331,12,24,31,18,19
"Національний університет біоресурсів і природокористування України",790,2022,2812,833,1056,1889,91,-10,20,25,18,18
"Луцький національний технічний університет",519,2032,2551,205,375,580,442,1,19,25,18,19
"""Європейський університет""",348,2172,2520,282,593,875,266,125,20,28,18,20
"Національний технічний університет ""Дніпровська політехніка""",426,2066,2492,441,692,1133,199,1,19,26,18,19
"Національний авіаційний університет",1009,1479,2488,1275,1565,2840,-5,2,19,21,18,19
"Київський національний економічний університет ім. В. Гетьмана",1138,1136,2274,1149,1050,2199,8,0,18,20,18,18
"Національний університет ""Одеська юридична академія""",1138,1094,2232,1431,903,2334,21,-17,18,22,18,18
"Волинський національний університет ім. Лесі Українки",1057,1159,2216,771,446,1217,160,11,20,26,19,19
"Івано-Франківський національний технічний університет нафти і газу",206,1980,2186,167,391,558,406,-33,19,28,18,18
"Державний університет телекомунікацій",305,1750,2055,301,999,1300,75,15,21,23,20,19
"Національний технічний університет ""Харківський політехнічний інститут""",202,1821,2023,417,1068,1485,71,15,23,29,19,20
"Сумський національний аграрний університет",280,1606,1886,153,332,485,384,-13,22,29,22,22
"""Київський університет культури""",807,1040,1847,678,389,1067,167,-33,19,25,18,19
"Державний університет ""Житомирська політехніка""",536,1299,1835,399,565,964,130,9,19,24,18,19
"Національний технічний університет України «Київський політехнічний інститут ім. Ігоря Сікорського»",585,1200,1785,683,1177,1860,2,-4,19,21,18,19
"Харківський національний університет ім. В. Каразіна",728,1055,1783,1814,1344,3158,-22,0,20,26,18,19
"Хмельницький національний університет",494,1253,1747,405,544,949,130,-13,19,23,19,19
"ПрАТ ""Вищий навчальний заклад ""Міжрегіональна Академія управління персоналом""",350,1314,1664,244,319,563,312,5,19,30,19,21
"Національний університет ""Полтавська політехніка ім. Ю. Кондратюка""",494,1105,1599,268,536,804,106,0,19,23,19,20
"Львівський національний університет природокористування",129,1467,1596,54,205,259,616,-26,19,25,19,19
"Міжнародний гуманітарний університет",770,747,1517,778,346,1124,116,-17,20,25,19,19
"Полтавський державний аграрний університет",312,1199,1511,179,338,517,255,-40,20,26,19,20
"Національний університет водного господарства та природокористування",374,1118,1492,171,261,432,328,-12,19,24,19,19
"Центральноукраїнський національний технічний університет",208,1256,1464,147,476,623,164,66,24,27,24,25
"""Класичний приватний університет""",144,1315,1459,96,252,348,422,4,26,32,22,22
"Київський університет ім. Б. Грінченка",941,515,1456,1051,425,1476,21,1,19,21,18,19
