"university","men_22","all_students_22","men_21","all_students_21","men_20","all_students_20","delta_22","mean_age_w_22","mean_age_m_22","mean_age_w_21","mean_age_m_21","mean_age_w_20","mean_age_m_20","all_students_23","men_23","mean_age_w_23","mean_age_m_23","delta_23"
"Національний університет ""Львівська політехніка""",4613,6349,1609,2825,1897,3198,187,18,25,18,19,18,19,7430,5347,18,26,16
"Західноукраїнський національний університет",3807,4655,922,1727,985,1640,313,20,29,20,22,19,20,4955,4018,20,28,6
"Чернівецький національний університет ім. Ю. Федьковича",2511,3622,740,1523,853,1734,239,19,25,18,19,19,19,3075,1873,18,24,-25
"Прикарпатський національний університет ім. В. Стефаника",2022,3464,693,1921,605,1769,192,19,25,18,18,18,19,3194,1683,18,24,-17
"Львівський національний університет ім. І. Франка",1572,3460,1217,3225,1124,2904,29,18,22,18,19,18,19,3518,1407,18,21,-10
"Державний вищий навчальний заклад ""Ужгородський національний університет""",2275,3424,875,1678,861,1690,160,19,26,18,19,19,19,2245,1309,18,23,-42
"Київський національний університет ім. Т. Шевченка",1599,3296,1784,3941,1760,3641,-10,19,21,19,19,19,19,3175,1513,19,22,-5
"Запорізький національний університет",2349,3195,687,1489,943,1988,242,20,29,18,20,19,20,2807,2173,21,30,-7
"Державний торговельно-економічний університет",1563,3013,1314,2825,1456,3199,19,18,20,18,18,18,18,3199,1783,18,21,14
"Національний університет ""Запорізька політехніка""",2593,2928,601,1038,539,934,331,24,31,18,19,19,19,2330,2002,23,30,-23
"Національний університет біоресурсів і природокористування України",2022,2812,1056,1889,1174,2058,91,20,25,18,18,19,19,3899,3036,19,29,50
"Луцький національний технічний університет",2032,2551,375,580,370,588,442,19,25,18,19,18,19,3080,2469,18,26,22
"""Європейський університет""",2172,2520,593,875,263,336,266,20,28,18,20,20,22,1851,1621,19,30,-25
"Національний технічний університет ""Дніпровська політехніка""",2066,2492,692,1133,687,1020,199,19,26,18,19,18,19,3846,3471,19,31,68
"Національний авіаційний університет",1479,2488,1565,2840,1537,2601,-5,19,21,18,19,18,19,2971,1890,19,24,28
"Київський національний економічний університет ім. В. Гетьмана",1136,2274,1050,2199,1049,1964,8,18,20,18,18,18,18,1863,989,18,23,-13
"Національний університет ""Одеська юридична академія""",1094,2232,903,2334,1086,2649,21,18,22,18,18,18,18,5039,2216,19,21,103
"Волинський національний університет ім. Лесі Українки",1159,2216,446,1217,402,1132,160,20,26,19,19,19,20,2322,1097,20,27,-5
"Івано-Франківський національний технічний університет нафти і газу",1980,2186,391,558,580,746,406,19,28,18,18,18,19,1549,1366,19,25,-31
"Державний університет телекомунікацій",1750,2055,999,1300,866,1103,75,21,23,20,19,18,19,2649,2357,22,27,35
"Національний технічний університет ""Харківський політехнічний інститут""",1821,2023,1068,1485,930,1345,71,23,29,19,20,19,20,2553,2138,25,29,17
"Сумський національний аграрний університет",1606,1886,332,485,381,572,384,22,29,22,22,20,21,2471,2165,22,32,35
"""Київський університет культури""",1040,1847,389,1067,578,1520,167,19,25,18,19,18,18,1303,646,18,25,-38
"Державний університет ""Житомирська політехніка""",1299,1835,565,964,517,932,130,19,24,18,19,18,19,2240,1711,19,27,32
"Національний технічний університет України «Київський політехнічний інститут ім. Ігоря Сікорського»",1200,1785,1177,1860,1232,1825,2,19,21,18,19,18,19,1993,1250,18,22,4
"Харківський національний університет ім. В. Каразіна",1055,1783,1344,3158,1342,2767,-22,20,26,18,19,19,19,2161,1360,20,29,29
"Хмельницький національний університет",1253,1747,544,949,623,1032,130,19,23,19,19,19,20,2028,1516,19,25,21
"ПрАТ ""Вищий навчальний заклад ""Міжрегіональна Академія управління персоналом""",1314,1664,319,563,303,566,312,19,30,19,21,19,20,2278,1928,20,32,47
"Національний університет ""Полтавська політехніка ім. Ю. Кондратюка""",1105,1599,536,804,536,800,106,19,23,19,20,19,20,2123,1553,19,26,41
"Львівський національний університет природокористування",1467,1596,205,259,276,374,616,19,25,19,19,18,19,2113,1997,19,27,36
"Міжнародний гуманітарний університет",747,1517,346,1124,418,1187,116,20,25,19,19,18,20,1475,817,21,29,9
"Полтавський державний аграрний університет",1199,1511,338,517,561,854,255,20,26,19,20,19,20,1887,1620,20,29,35
"Національний університет водного господарства та природокористування",1118,1492,261,432,295,513,328,19,24,19,19,19,20,2103,1655,18,26,48
"Центральноукраїнський національний технічний університет",1256,1464,476,623,287,397,164,24,27,24,25,21,22,2096,1895,24,31,51
"""Класичний приватний університет""",1315,1459,252,348,243,343,422,26,32,22,22,22,21,1372,1276,28,34,-3
"Київський університет ім. Б. Грінченка",515,1456,425,1476,421,1384,21,19,21,18,19,19,19,1511,507,18,22,-2
"Вінницький національний технічний університет",1262,1452,546,678,471,572,131,19,23,20,19,18,19,1475,1288,19,24,2
"Національний лісотехнічний університет України",1243,1428,176,225,144,171,606,18,25,19,19,18,19,1715,1420,18,26,14
"Дніпровський національний університет ім. О. Гончара",667,1424,422,1065,506,1170,58,19,22,19,20,19,20,1852,938,19,22,41
"Тернопільський національний технічний університет ім. І. Пулюя",1259,1422,495,623,445,574,154,19,25,19,19,19,20,1727,1579,19,27,25
"Дніпровський державний аграрно-економічний університет",1082,1415,299,578,401,793,262,20,27,18,19,19,20,1614,1355,19,29,25
"Харківський національний автомобільно-дорожній університет",1287,1412,447,556,576,698,188,23,28,19,22,20,21,1812,1702,23,31,32
"Київський національний університет технологій та дизайну",763,1392,462,995,491,1059,65,20,23,18,19,18,19,1623,946,18,26,24
"Національний університет кораблебудування ім. адмірала Макарова",1222,1387,589,791,558,786,107,26,27,20,22,20,23,1367,1245,22,31,2
"Університет митної справи та фінансів",689,1331,454,948,510,1093,52,18,21,18,19,18,18,1444,750,18,22,9
"Харківський національний університет радіоелектроніки",1215,1307,1223,1494,1048,1248,-1,21,27,18,19,19,20,1167,1059,21,26,-13
"Національний педагогічний університет ім. М. Драгоманова",587,1274,391,1283,442,1393,50,20,27,19,20,19,20,1456,760,19,29,29
"Національний транспортний університет",1062,1265,660,929,835,1193,61,18,21,18,19,18,19,1563,1306,18,23,23
"Одеський національний університет ім. І. І. Мечникова",463,1248,371,1074,342,998,25,19,23,19,19,18,19,1157,514,19,27,11
"Національний медичний університет ім. О. Богомольця",359,1236,545,1408,379,955,-34,19,20,18,19,18,19,769,203,18,21,-43
"Київський національний університет будівництва і архітектури",771,1193,492,929,503,869,57,19,23,18,19,18,20,1957,1405,19,29,82
"Заклад вищої освіти ""Університет Короля Данила""",924,1178,228,366,192,330,305,18,28,18,22,18,19,985,708,18,28,-23
